no,location,lat,lng,type,districtL,districtS,address,provider,parkingNo,img,stationList_Id
"1","Temple Mall North","22.3425903320313","114.190719604492","SemiQuick","Kowloon","Wong Tai Sin","\nTemple Mall North Carpark, Level 3, 136 Lung Cheung Rd, Wong Tai Sin, Kln\n","CLP","320-322","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Lung%20Cheung.jpg\n",0
"2","Fu Shing Building","22.4420719146729","114.027671813965","SemiQuick","New Territories","Yuen Long","\nFu Shing Building Carpark, 1/F 9 Sai Ching Street, Yuen Long, NT\n","CLP","33-35","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Fu%20Shing%20Building.jpg\n",0
"3","Lok Fu Plaza Carpark","22.3386573791504","114.186103820801","SemiQuick","Kowloon","Wong Tai Sin","\nLok Fu Plaza Carpark, G/F Wang Tau Hom, Wong Tai Sin, Kln\n","CLP","67-69","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Lo%20Fu_large.jpg\n",0
"4","MegaBox","22.3203277587891","114.208526611328","SemiQuick","Kowloon","Kwun Tong","\nMegaBox Carpark, B/F 38 Wang Chiu Road, Kowloon Bay, Kln\n","CLP","139-141","\n/EV/PublishingImages/common/map/map_thumb/Megabox.jpg\n",0
"5","LOHAS Park - the Capitol","22.2961540222168","114.272148132324","Standard","New Territories","Sai Kung","\nCarpark, G/F, The Capitol, LOHAS Park, Tseung Kwan O, NT\n","CLP","V14-V16","\n/EV/PublishingImages/common/map/map_thumb/Entrance_lohas_large.jpg\n",0
"6","Shek Lei Shopping Centre II","22.3658618927002","114.140121459961","SemiQuick","New Territories","Kwai Tsing","\nShek Lei Shopping Centre Phase II Carpark, 4/F Shek Lei Estate, Kwai Chung, NT\n","CLP","33-35","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Shek%20lei%20shopping%20ctr.jpg\n",0
"7","Fu Tung Shopping Centre","22.2882328033447","113.941909790039","SemiQuick","Outlying Islands","Outlying Islands","\nFu Tung Shopping Centre Carpark, G/F Fu Ting Estate, Tung Chung, Lantau, NT\n","CLP","1001-1003","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Fu%20Tung_large.jpg\n",0
"8","Landmark North","22.5029144287109","114.127586364746","Standard","New Territories","North","\nLandmark North Carpark, B3/F 39 Lung Sum Avenue, Sheung Shui, NT\n","CLP","79-81","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Landmark%20north_large.jpg\n",0
"9","Ocean Terminal","22.2956161499023","114.169357299805","SemiQuick","Kowloon","Yau Tsim Mong","\nOcean Terminal Carpark (Harbour City), 4/F 3-27 Canton Rd, Tsimshatsui, Kln\n","CLP","1250-1251, 1305","\n/EV/PublishingImages/common/map/map_thumb/Entrance_Ocean%20Terminal_large.jpg\n",0
"10","Tai Wo Shopping Centre","22.4504833221436","114.160835266113","SemiQuick","New Territories","Tai Po","\nTai Wo Shopping Centre, 1/F Carpark Tai Wo Estate, Tai Po, NT\n","CLP","B1-B3","\n/EV/PublishingImages/common/map/map_thumb/Entrance_tai%20wo_large.jpg\n",0
